ID,Reported Year,Total Dead and Missing,Lat,Long
142,2019,1,36.18474129,-5.915458664
143,2019,6,31.20881475,16.59440337
144,2018,1,32.2769249,-112.8598846
145,2018,2,26.8304375,-79.5253125
146,2018,14,-6.840928719,37.62619356
147,2018,7,34.86902445,34.49283577
148,2018,1,32.54188202,-117.1337341
149,2018,1,27.02891699,-98.07034531
150,2018,1,43.60990251,13.45659002
151,2018,1,28.75900692,-100.5193484
152,2018,4,35.48168069,-3.342110715
153,2018,2,36.17553918,-3.432980467
154,2018,12,35.94038665,-5.940460713
155,2018,1,35.96307134,36.29464022
156,2018,1,35.91496169,-5.380634705
157,2018,1,36.01097638,36.29189363
158,2018,24,36.38585817,-2.625576919
159,2018,1,28.6558304,-100.4806113
160,2018,1,35.8621015,-3.230474337
161,2018,20,36.65666574,1.229045427
162,2018,1,31.7855285,-111.4663925
163,2018,1,45.12186907,19.21323682
164,2018,1,28.70236035,-100.5115385
165,2018,1,36.17464226,-3.809567348
166,2018,8,37.07483589,8.724048758
167,2018,1,31.89718908,-106.4391036
168,2018,1,32.4026649,-111.4275888
169,2018,1,31.5894922,-111.3633789
170,2018,1,32.3318032,-112.5245093
171,2018,1,31.814869,-111.8223285
172,2018,1,32.057499,-111.6660725
173,2018,6,19.1125625,-69.3134375
174,2018,2,32.5382967,-117.0140624
175,2018,1,29.82761191,-102.5924324
176,2018,3,40.989655,24.630244
177,2018,1,27.630474,-99.625893
178,2018,2,35.55536,-3.233348
179,2018,1,32.057499,-111.6660725
180,2018,1,32.66548452,-115.502037
181,2018,1,26.18245506,-98.37982216
182,2018,1,27.629882,-99.626826
183,2018,1,28.337657,-100.308865
184,2018,1,17.997026,-95.385768
185,2018,1,31.770748,-106.499407
186,2018,1,27.427587,-99.491763
187,2018,7,17.962065,-68.2915
188,2018,1,35.948083,-5.277967
189,2018,1,41.090092,26.347378
190,2018,1,32.65921362,-115.5774445
191,2018,15,32.835794,15.372368
192,2018,6,36.993449,4.395623
193,2018,1,26.16075,-98.349042
194,2018,3,41.306959,26.519596
195,2018,1,26.150512,-98.33858
196,2018,2,36.20641,-0.440445
197,2018,1,25.886732,-97.518249
198,2018,1,27.122955,-98.0936
199,2018,1,31.9163189,-112.9357799
200,2018,1,29.60816059,-102.8835701
201,2018,1,45.08165567,19.19653095
202,2018,1,32.534377,-117.066199
203,2018,1,45.408498,15.391822
204,2018,1,37.595408,7.867908
205,2018,2,11.788676,99.791487
206,2018,1,35.944056,-4.296153
207,2018,1,27.499653,-99.50531
208,2018,3,32.662275,-116.223979
209,2018,1,27.778512,-98.724081
210,2018,2,32.70505562,-116.3577617
211,2018,1,40.954982,24.386152
212,2018,3,36.150154,-3.405538
213,2018,1,29.09715,-110.919818
214,2018,4,41.051762,25.4757
215,2018,1,45.565971,14.234048
216,2018,1,28.267376,-105.477996
217,2018,1,28.75604838,-100.5306054
218,2018,1,35.94335598,-2.447945545
219,2018,29,35.332202,-2.74651
220,2018,1,36.83739766,31.76585416
221,2018,1,32.5255301,-117.0095886
222,2018,14,36.12548285,-3.019234608
223,2018,7,37.101562,7.867572
224,2018,1,32.604487,-115.379027
225,2018,2,27.08845474,-98.22404448
226,2018,1,32.5255301,-117.0095886
227,2018,1,32.51119784,-116.0802256
228,2018,1,32.67309514,-115.3912517
229,2018,1,36.95735552,27.40616408
230,2018,9,36.20772327,-6.263366759
231,2018,1,27.33021052,-98.63074618
232,2018,22,29.82267777,-10.21048677
233,2018,1,51.09548781,1.120740942
234,2018,1,26.95508123,-97.8283847
235,2018,2,16.525452,-85.875321
236,2018,1,13.511667,2.125278
237,2018,1,25.88865382,-97.52318676
238,2018,1,19.02521579,-96.31746293
239,2018,1,20.023597,-99.217633
240,2018,1,26.097296,-98.261871
241,2018,10,38.84406233,8.408826454
242,2018,1,27.38181879,-99.44828538
243,2018,1,44.765773,20.467632
244,2018,5,8.271988,34.587575
245,2018,1,27.19401176,-98.27463405
246,2018,10,39.07623263,26.72989724
247,2018,2,27.14902079,63.2915497
248,2018,1,40.7068125,23.1915625
249,2018,1,44.52273879,19.15180003
250,2018,1,12.639167,-8.002778
251,2018,1,16.967643,7.985137
252,2018,1,40.73995457,23.01685516
253,2018,2,36.70946348,-4.221767057
254,2018,1,35.89654345,-5.300197427
255,2018,1,35.20397868,12.81264656
256,2018,1,27.03121382,-97.97017135
257,2018,5,37.596845,7.868337
258,2018,1,36.82913842,37.98702028
259,2018,1,11.316667,-5.666667
260,2018,3,11.316667,-5.666667
261,2018,1,28.33022071,-100.3013034
262,2018,1,19.9115315,-99.3637925
263,2018,5,38.64500751,44.20489425
264,2018,1,11.316667,-5.666667
265,2018,23,36.14620838,-6.010210827
266,2018,31,35.53795851,-2.934664072
267,2018,1,39.48863,20.280311
268,2018,1,31.9676831,-113.0133083
269,2018,2,10.4875,-5.653611
270,2018,1,12.05,0.366667
271,2018,1,12.19,1.39
272,2018,1,28.50710135,-100.3182198
273,2018,1,-12.78464779,45.10032603
274,2018,1,31.6745696,-110.9228378
275,2018,1,11.183333,-4.283333
276,2018,1,14.9609782,-91.8074586
277,2018,1,25.88121179,-97.47965987
278,2018,1,31.8127605,-109.7284151
279,2018,1,35.99690266,36.35989943
280,2018,2,12.05,0.366667
281,2018,2,12.05,0.366667
282,2018,1,44.5226623,19.15257251
283,2018,7,11.183333,-4.283333
284,2018,1,17.5969832,-92.8265503
285,2018,3,8.734584,44.788894
286,2018,3,22.396611,26.693147
287,2018,1,26.4088523,-99.0156554
288,2018,1,35.15796854,-2.905610944
289,2018,2,19.635357,27.103538
290,2018,1,26.910418,14.509939
291,2018,1,6.666667,-1.616667
292,2018,1,14.67658428,-92.14732112
293,2018,1,-9.311028,32.777507
294,2018,1,-14.395626,34.325744
295,2018,2,9.322813,42.787821
296,2018,1,12.25,-0.616667
297,2018,1,35.81896509,-4.128170864
298,2018,1,36.95154021,27.23974816
299,2018,54,35.783607,-3.071865
300,2018,2,12.953846,36.152215
301,2018,1,9.511606,44.059039
302,2018,1,21.14317,23.823002
303,2018,14,35.44208795,-3.127679063
304,2018,2,18.07428,34.434549
305,2018,2,35.35750205,-3.798174029
306,2018,6,35.85838435,36.1169485
307,2018,1,40.8806112,26.045885
308,2018,3,41.50770485,26.59802824
309,2018,1,5.540402403,-73.36125464
310,2018,1,31.4882334,-111.5428071
311,2018,1,12.953846,36.152215
312,2018,1,12.357222,-1.535278
313,2018,1,32.057499,-111.6660725
314,2018,1,-12.949113,28.674062
315,2018,1,-2.55236,36.79757
316,2018,1,20.610678,27.916851
317,2018,3,37.01378076,27.4414405
318,2018,1,15.1108171,-92.43089998
319,2018,7,-4.841440546,39.45602558
320,2018,1,27.28593786,-99.40112185
321,2018,1,9.020952,46.451457
322,2018,2,35.31707476,-2.95862509
323,2018,6,16.66168767,-92.55863457
324,2018,1,28.505442,-100.3245713
325,2018,1,-13.86155,33.782244
326,2018,1,18.07428,34.434549
327,2018,1,14.4498588,-90.6429999
328,2018,1,35.28808666,-3.114351178
